tstart	srcip	dstip	sport	dport	proto	flags	tos	bytes	pkts	input	output	rip
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	37081	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	37251	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	36800	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	37341	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	37225	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	37114	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	37382	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	36627	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	36869	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	36814	80	TCP	......	0	243	4	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	36691	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	36946	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	36565	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	37271	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	37371	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	36992	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	36913	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	36654	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	36750	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	37289	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	36779	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	37222	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	36774	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	37287	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	36561	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	37061	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	36665	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	36687	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	36717	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	37410	80	TCP	......	0	116	2	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	36836	80	TCP	......	0	235	4	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	36509	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	37296	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	36784	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	36405	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	37254	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	37095	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	37091	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	36897	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	37213	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	36925	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	37298	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	37189	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	36611	80	TCP	......	0	108	2	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	36970	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	36510	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	37401	80	TCP	......	0	243	4	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	36747	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	37009	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	37403	80	TCP	......	0	243	4	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	37311	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	37422	80	TCP	......	0	54	1	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	37188	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	37348	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	36874	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	37356	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:39:05	10.13.77.49	172.10.0.4	36896	80	TCP	......	0	297	5	1	2	10.1.1.1
