tstart	srcip	dstip	sport	dport	proto	flags	tos	bytes	pkts	input	output	rip
2016-07-08 15:16:00	10.13.77.49	172.20.0.5	59295	3389	TCP	......	0	58	1	1	2	10.1.1.1
2016-07-08 15:16:01	10.13.77.49	172.20.0.5	59296	3389	TCP	......	0	58	1	1	2	10.1.1.1
2016-07-08 15:16:01	10.13.77.49	172.20.0.5	21435	80	TCP	......	0	296	5	1	2	10.1.1.1
2016-07-08 15:16:02	10.13.77.49	172.20.0.5	59297	3389	TCP	......	0	58	1	1	2	10.1.1.1
2016-07-08 15:16:02	10.13.77.49	172.20.0.5	21440	80	TCP	......	0	296	5	1	2	10.1.1.1
2016-07-08 15:16:04	10.13.77.49	172.20.0.5	59298	3389	TCP	......	0	58	1	1	2	10.1.1.1
2016-07-08 15:16:05	10.13.77.49	172.20.0.5	46021	80	TCP	......	0	256	4	1	2	10.1.1.1
2016-07-08 15:16:05	10.13.77.49	172.20.0.5	59299	3389	TCP	......	0	58	1	1	2	10.1.1.1
2016-07-08 15:16:05	10.13.77.49	172.20.0.5	46022	80	TCP	......	0	256	4	1	2	10.1.1.1
2016-07-08 15:16:06	10.13.77.49	172.20.0.5	41181	80	TCP	......	0	248	4	1	2	10.1.1.1
2016-07-08 15:16:06	10.13.77.49	172.20.0.5	41176	80	TCP	......	0	256	4	1	2	10.1.1.1
2016-07-08 15:16:06	10.13.77.49	172.20.0.5	41179	80	TCP	......	0	248	4	1	2	10.1.1.1
2016-07-08 15:16:06	10.13.77.49	172.20.0.5	41177	80	TCP	......	0	256	4	1	2	10.1.1.1
2016-07-08 15:16:06	10.13.77.49	172.20.0.5	41180	80	TCP	......	0	256	4	1	2	10.1.1.1
2016-07-08 15:16:06	10.13.77.49	172.20.0.5	46026	80	TCP	......	0	248	4	1	2	10.1.1.1
2016-07-08 15:16:06	10.13.77.49	172.20.0.5	46033	80	TCP	......	0	240	4	1	2	10.1.1.1
2016-07-08 15:16:06	10.13.77.49	172.20.0.5	46023	80	TCP	......	0	256	4	1	2	10.1.1.1
2016-07-08 15:16:06	10.13.77.49	172.20.0.5	46024	80	TCP	......	0	248	4	1	2	10.1.1.1
2016-07-08 15:16:06	10.13.77.49	172.20.0.5	46038	3389	TCP	......	0	148	2	1	2	10.1.1.1
2016-07-08 15:16:06	10.13.77.49	172.20.0.5	41178	80	TCP	......	0	256	4	1	2	10.1.1.1
2016-07-08 15:16:06	10.13.77.49	172.20.0.5	46025	80	TCP	......	0	256	4	1	2	10.1.1.1
2016-07-08 15:16:07	10.13.77.49	172.20.0.5	46032	80	TCP	......	0	496	8	1	2	10.1.1.1
2016-07-08 15:16:07	10.13.77.49	172.20.0.5	59300	3389	TCP	......	0	58	1	1	2	10.1.1.1
2016-07-08 15:16:07	10.13.77.49	172.20.0.5	41188	80	TCP	......	0	240	4	1	2	10.1.1.1
2016-07-08 15:16:08	10.13.77.49	172.20.0.5	21461	80	TCP	......	0	423	5	1	2	10.1.1.1
2016-07-08 15:16:08	10.13.77.49	172.20.0.5	59301	3389	TCP	......	0	58	1	1	2	10.1.1.1
2016-07-08 15:16:08	10.13.77.49	172.20.0.5	21451	80	TCP	......	0	423	5	1	2	10.1.1.1
2016-07-08 15:16:08	10.13.77.49	172.20.0.5	21452	80	TCP	......	0	423	5	1	2	10.1.1.1
2016-07-08 15:16:08	10.13.77.49	172.20.0.5	21453	80	TCP	......	0	433	5	1	2	10.1.1.1
2016-07-08 15:16:08	10.13.77.49	172.20.0.5	21463	80	TCP	......	0	423	5	1	2	10.1.1.1
2016-07-08 15:16:08	10.13.77.49	172.20.0.5	21462	80	TCP	......	0	433	5	1	2	10.1.1.1
2016-07-08 15:16:09	10.13.77.49	172.20.0.5	59302	3389	TCP	......	0	58	1	1	2	10.1.1.1
2016-07-08 15:16:11	10.13.77.49	172.20.0.5	59303	3389	TCP	......	0	58	1	1	2	10.1.1.1
2016-07-08 15:16:12	10.13.77.49	172.20.0.5	59304	3389	TCP	......	0	58	1	1	2	10.1.1.1
2016-07-08 15:16:14	10.13.77.49	172.20.0.5	59305	3389	TCP	......	0	58	1	1	2	10.1.1.1
2016-07-08 15:16:15	10.13.77.49	172.20.0.5	59306	3389	TCP	......	0	58	1	1	2	10.1.1.1
2016-07-08 15:16:16	10.13.77.49	172.20.0.5	59307	3389	TCP	......	0	58	1	1	2	10.1.1.1
2016-07-08 15:16:18	10.13.77.49	172.20.0.5	59308	3389	TCP	......	0	58	1	1	2	10.1.1.1
2016-07-08 15:16:19	10.13.77.49	172.20.0.5	59309	3389	TCP	......	0	58	1	1	2	10.1.1.1
2016-07-08 15:16:21	10.13.77.49	172.20.0.5	59310	3389	TCP	......	0	58	1	1	2	10.1.1.1
2016-07-08 15:16:29	10.13.77.49	172.20.0.5	21473	80	TCP	......	0	296	5	1	2	10.1.1.1
2016-07-08 15:16:34	10.13.77.49	172.20.0.5	0	0	OTHER	......	0	2832	16	1	2	10.1.1.1
2016-07-08 15:16:34	10.13.77.49	172.20.0.5	59251	80	TCP	......	0	256	4	1	2	10.1.1.1
2016-07-08 15:16:34	10.13.77.49	172.20.0.5	59255	80	TCP	......	0	248	4	1	2	10.1.1.1
2016-07-08 15:16:34	10.13.77.49	172.20.0.5	59253	80	TCP	......	0	248	4	1	2	10.1.1.1
2016-07-08 15:16:34	10.13.77.49	172.20.0.5	59252	80	TCP	......	0	256	4	1	2	10.1.1.1
2016-07-08 15:16:34	10.13.77.49	172.20.0.5	59254	80	TCP	......	0	256	4	1	2	10.1.1.1
2016-07-08 15:16:34	10.13.77.49	172.20.0.5	59250	80	TCP	......	0	256	4	1	2	10.1.1.1
2016-07-08 15:16:35	10.13.77.49	172.20.0.5	59262	80	TCP	......	0	240	4	1	2	10.1.1.1
2016-07-08 15:16:35	10.13.77.49	172.20.0.5	59267	3389	TCP	......	0	260	4	1	2	10.1.1.1
2016-07-08 15:16:36	10.13.77.49	172.20.0.5	21484	80	TCP	......	0	423	5	1	2	10.1.1.1
2016-07-08 15:16:36	10.13.77.49	172.20.0.5	21483	80	TCP	......	0	433	5	1	2	10.1.1.1
2016-07-08 15:16:36	10.13.77.49	172.20.0.5	21482	80	TCP	......	0	423	5	1	2	10.1.1.1
