tstart	srcip	dstip	sport	dport	proto	flags	tos	bytes	pkts	input	output	rip
2016-07-08 15:02:01	10.138.235.111	172.10.0.2	61425	3389	TCP	......	0	58	1	1	2	10.1.1.1
2016-07-08 15:02:11	10.138.235.111	172.10.0.2	61427	3389	TCP	......	0	112	2	1	2	10.1.1.1
2016-07-08 15:02:12	10.138.235.111	172.10.0.2	61426	3389	TCP	......	0	112	2	1	2	10.1.1.1
2016-07-08 15:02:12	10.138.235.111	172.10.0.2	61428	3389	TCP	......	0	58	1	1	2	10.1.1.1
2016-07-08 15:02:14	10.138.235.111	172.10.0.2	61429	3389	TCP	......	0	58	1	1	2	10.1.1.1
2016-07-08 15:02:18	10.138.235.111	172.10.0.2	61430	3389	TCP	......	0	58	1	1	2	10.1.1.1
2016-07-08 15:02:24	10.138.235.111	172.10.0.2	61431	3389	TCP	......	0	58	1	1	2	10.1.1.1
2016-07-08 15:02:28	10.138.235.111	172.10.0.2	61432	3389	TCP	......	0	58	1	1	2	10.1.1.1
2016-07-08 15:02:37	10.138.235.111	172.10.0.2	61434	3389	TCP	......	0	58	1	1	2	10.1.1.1
2016-07-08 15:02:42	10.138.235.111	172.10.0.2	61435	3389	TCP	......	0	112	2	1	2	10.1.1.1
2016-07-08 15:02:44	10.138.235.111	172.10.0.2	61436	3389	TCP	......	0	58	1	1	2	10.1.1.1
2016-07-08 15:02:48	10.138.235.111	172.10.0.2	61437	3389	TCP	......	0	58	1	1	2	10.1.1.1
2016-07-08 15:02:53	10.138.235.111	172.10.0.2	61438	3389	TCP	......	0	58	1	1	2	10.1.1.1
2016-07-08 15:02:59	10.138.235.111	172.10.0.2	61439	3389	TCP	......	0	58	1	1	2	10.1.1.1
