tstart	srcip	dstip	sport	dport	proto	flags	tos	bytes	pkts	input	output	rip
2016-07-08 14:31:00	172.10.0.4	10.38.217.48	80	30960	TCP	......	0	54	1	2	1	10.1.1.1
2016-07-08 14:31:00	172.10.0.4	10.38.217.48	80	30956	TCP	......	0	54	1	2	1	10.1.1.1
2016-07-08 14:31:00	172.10.0.4	10.38.217.48	80	30961	TCP	......	0	54	1	2	1	10.1.1.1
2016-07-08 14:31:00	172.10.0.4	10.38.217.48	80	30955	TCP	......	0	54	1	2	1	10.1.1.1
2016-07-08 14:31:01	10.38.217.48	172.10.0.4	31219	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:31:01	10.38.217.48	172.10.0.4	31013	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:31:01	10.38.217.48	172.10.0.4	31176	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:31:01	10.38.217.48	172.10.0.4	31173	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:31:01	10.38.217.48	172.10.0.4	31158	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:31:01	10.38.217.48	172.10.0.4	31203	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:31:01	10.38.217.48	172.10.0.4	31186	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:31:01	10.38.217.48	172.10.0.4	31207	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:31:01	10.38.217.48	172.10.0.4	31223	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:31:01	10.38.217.48	172.10.0.4	31119	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:31:01	10.38.217.48	172.10.0.4	31064	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:31:01	10.38.217.48	172.10.0.4	31068	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:31:01	10.38.217.48	172.10.0.4	31008	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:31:01	10.38.217.48	172.10.0.4	31002	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:31:01	10.38.217.48	172.10.0.4	31133	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:31:01	10.38.217.48	172.10.0.4	31225	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:31:01	10.38.217.48	172.10.0.4	31026	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:31:01	10.38.217.48	172.10.0.4	31175	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:31:01	10.38.217.48	172.10.0.4	31145	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:31:01	10.38.217.48	172.10.0.4	31048	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:31:01	10.38.217.48	172.10.0.4	31019	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:31:01	10.38.217.48	172.10.0.4	31161	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:31:01	10.38.217.48	172.10.0.4	31142	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:31:01	10.38.217.48	172.10.0.4	31091	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:31:01	10.38.217.48	172.10.0.4	31217	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:31:01	10.38.217.48	172.10.0.4	31221	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:31:01	10.38.217.48	172.10.0.4	31187	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:31:01	10.38.217.48	172.10.0.4	31121	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:31:01	10.38.217.48	172.10.0.4	31080	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:31:01	10.38.217.48	172.10.0.4	31076	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:31:01	10.38.217.48	172.10.0.4	31127	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:31:01	10.38.217.48	172.10.0.4	31005	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:31:01	10.38.217.48	172.10.0.4	31033	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:31:01	10.38.217.48	172.10.0.4	31022	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:31:01	10.38.217.48	172.10.0.4	31023	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:31:01	10.38.217.48	172.10.0.4	31025	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:31:01	10.38.217.48	172.10.0.4	31129	80	TCP	......	0	297	5	1	2	10.1.1.1
2016-07-08 14:31:01	10.38.217.48	172.10.0.4	31060	80	TCP	......	0	297	5	1	2	10.1.1.1
